date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base,Taker Buy Quote,SMA_5,SMA_20,EMA_12,RSI,MACD,Price_Change,Volatility,High_Low_Ratio,Volume_SMA,Upper_Shadow,Lower_Shadow,Body_Size,Support,Resistance,Price_Position
2022-11-16,6.421,6.564,6.077,6.179,6291977.07,39562816.09355,122221,2871753.73,18075889.77238,6.250000000000001,7.355149999999999,6.802170789582063,42.29921645445642,-0.29076215223699453,-0.03768883351502883,0.08554485373040856,1.0801382260984038,15098525.937,0.1429999999999998,0.10200000000000031,0.242,5.69,9.47,0.12936507936507932
2022-11-17,6.18,6.342,6.029,6.225,4888412.25,30263489.00306,100903,2410301.52,14930365.3125,6.2388,7.310949999999998,6.71106627668579,40.57495902156096,-0.30308401561106457,0.0074445703188217305,0.08521959165755191,1.051915740587162,14449759.473000001,0.11699999999999999,0.1509999999999998,0.04499999999999993,5.69,9.47,0.14153439153439132
2022-11-18,6.224,6.44,6.069,6.183,5216596.13,32627018.46391,87798,2489228.53,15560647.20524,6.2598,7.238299999999998,6.628044881955178,31.857265692175403,-0.3119004899031559,-0.006746987951807171,0.08325905392422993,1.061130334486736,11359907.747000001,0.2160000000000002,0.11399999999999988,0.04100000000000037,5.69,9.47,0.13042328042328027
2022-11-19,6.184,6.22,5.99,6.146,2913602.05,17818230.55664,55789,1426472.72,8726948.72497,6.2308,7.156499999999997,6.552513529232453,31.92589401120206,-0.31761025647432906,-0.005984150088953588,0.08303143877465854,1.038397328881469,9286520.021000002,0.03599999999999959,0.1559999999999997,0.038000000000000256,5.69,9.47,0.1206349206349205
2022-11-20,6.146,6.252,5.709,5.768,4952741.6,29792054.05031,89931,2380574.0,14339974.87827,6.100199999999999,7.052049999999997,6.429937049782589,32.79244726360818,-0.3445889483231337,-0.06150341685649208,0.08373961523087135,1.095112979506043,7918568.382999999,0.10599999999999987,0.05900000000000016,0.3780000000000001,5.69,9.47,0.020634920634920475
2022-11-21,5.767,5.896,5.528,5.876,7858097.01,45079333.64236,142035,4038486.35,23171799.80561,6.039599999999998,6.961649999999997,6.3435941814991255,24.469496021220166,-0.35396879962097216,0.018723994452149784,0.08397677015496562,1.0665701881331404,7583352.667,0.019999999999999574,0.23900000000000077,0.10899999999999999,5.528,9.47,0.08828006088280077
2022-11-22,5.874,6.485,5.837,6.422,11891787.33,73312569.08168,206660,6159877.44,37999087.24869,6.078999999999998,6.910899999999996,6.355790696266729,37.936210131332075,-0.3184392200304851,0.0929203539823007,0.08684098025033152,1.1110159328422136,7254376.097,0.06300000000000061,0.03699999999999992,0.548,5.528,9.47,0.22678843226788428
2022-11-23,6.423,6.809,6.343,6.707,9877403.25,64504866.00591,174060,4905410.35,32052145.61022,6.183799999999998,6.860249999999996,6.410330229401229,55.751570807153215,-0.2666453619103031,0.04437869822485219,0.08701221193193673,1.0734668138104997,7513313.619,0.10200000000000031,0.08000000000000007,0.2839999999999998,5.528,9.47,0.2990867579908676
2022-11-24,6.708,6.978,6.586,6.831,6713104.24,45421620.88419,137507,3487081.95,23586414.27711,6.320799999999998,6.7660499999999955,6.475562096548717,44.227840389887305,-0.21419445945390692,0.018488146712390074,0.08151079070324005,1.059520194351655,6963221.027,0.14699999999999935,0.12199999999999989,0.12300000000000022,5.528,9.47,0.33054287163876217
2022-11-25,6.83,6.993,6.661,6.848,5761022.33,39209013.52817,113315,2813200.02,19149681.65128,6.536799999999998,6.675299999999996,6.533244404806167,46.87300574345884,-0.16952729840076142,0.0024886546625675354,0.08154846991117572,1.0498423660111096,6636474.325999999,0.14500000000000046,0.16900000000000048,0.017999999999999794,5.528,9.47,0.334855403348554
2022-11-26,6.848,7.299,6.824,7.156,8067345.14,57109526.62374,134550,4154986.63,29432482.80417,6.792799999999998,6.6280499999999964,6.629595943086372,66.33072041806645,-0.1101504956095134,0.04497663551401865,0.08124559370756147,1.069607268464244,6814011.1329999985,0.14300000000000068,0.02400000000000002,0.30799999999999983,5.528,9.47,0.4129883307965499
2022-11-27,7.157,7.278,6.858,6.902,4986550.69,35387622.00056,90351,2375009.8,16869047.40439,6.888799999999999,6.525349999999996,6.671705055386821,65.0915750915751,-0.08117953690628354,-0.0354946897708216,0.07736223192504808,1.0612423447069117,6823824.976999998,0.12099999999999955,0.04400000000000048,0.2549999999999999,5.528,9.47,0.34855403348554037
2022-11-28,6.904,7.347,6.53,7.194,13592230.54,93251021.80269,244302,6726981.84,46214163.94018,6.986199999999999,6.4996499999999955,6.752383650259692,66.07333570665718,-0.0359746394748548,0.042306577803535195,0.07184227045360059,1.125114854517611,7661388.417999998,0.15300000000000047,0.37399999999999967,0.29000000000000004,5.528,7.9,0.7023608768971331
2022-11-29,7.194,7.513,7.123,7.318,9043323.82,66419163.60329,158405,4616857.17,33923978.44671,7.083599999999999,6.553999999999997,6.839699656537666,66.00071352122725,0.009017055229154636,0.017236586043925417,0.05612115158763652,1.0547522111469885,8274360.594999997,0.19500000000000028,0.07099999999999973,0.12399999999999967,5.528,7.513,0.9017632241813601
2022-11-30,7.317,7.75,7.272,7.672,8332281.04,62610480.76876,166962,3802349.29,28568767.48475,7.248399999999998,6.577099999999996,6.968116842628136,75.6089193825043,0.070593704894228,0.04837387264279869,0.04529364048285965,1.0657315731573156,8612314.538999999,0.07800000000000029,0.04499999999999993,0.35499999999999954,5.528,7.75,0.9648964896489648
2022-12-01,7.673,7.812,7.441,7.681,7617442.3,57997359.00621,134924,3632436.65,27664124.62554,7.353399999999998,6.608949999999996,7.078059921688257,75.29534398888119,0.11862421223502473,0.001173096976016641,0.04485206616079507,1.0498588899341488,8588249.067999998,0.13100000000000023,0.2320000000000002,0.008000000000000007,5.528,7.812,0.9426444833625218
2022-12-02,7.681,7.726,7.479,7.61,5062435.56,38484351.5025,104325,2521866.31,19177792.45132,7.494999999999997,6.675399999999996,7.160066475570675,74.54420364637085,0.1494744849204226,-0.009243588074469455,0.036297195831522334,1.0330258055889825,7905313.890999998,0.04499999999999993,0.13100000000000023,0.07099999999999973,5.528,7.812,0.9115586690017513
2022-12-03,7.611,7.633,7.207,7.235,3708734.4,27484803.09496,67054,1753928.5,13002558.18173,7.503199999999997,6.733249999999996,7.171614921582011,66.77966101694916,0.1434569917050732,-0.04927726675427069,0.03752163270106252,1.0591091993894826,7288447.005999999,0.02200000000000024,0.02800000000000047,0.37599999999999945,5.528,7.812,0.7473730297723293
2022-12-04,7.238,7.47,7.185,7.444,3401151.78,24955057.75554,67238,1704289.61,12506461.25508,7.528399999999998,6.790899999999996,7.213582467750114,77.24317295188558,0.15300998360757756,0.02888735314443669,0.03732501886244576,1.0396659707724427,6957251.76,0.0259999999999998,0.053000000000000824,0.20599999999999952,5.528,7.812,0.8388791593695271
2022-12-05,7.442,7.594,7.16,7.275,5610549.45,41707402.26287,100862,2572124.02,19137845.03937,7.448999999999998,6.833599999999997,7.223043173737232,72.29837424290726,0.14582075801138394,-0.022702847931219683,0.03787386985663004,1.0606145251396648,6942204.472,0.15200000000000014,0.11500000000000021,0.16699999999999982,5.528,7.812,0.7648861646234677
2022-12-06,7.275,7.336,6.957,7.132,5417019.69,38902423.36086,97867,2537954.79,18217509.70091,7.339199999999998,6.881249999999997,7.209021664827228,62.98463789319678,0.1275610113406307,-0.01965635738831628,0.03695916897087752,1.054477504671554,6677171.926999999,0.06099999999999994,0.17499999999999982,0.14300000000000068,5.528,7.812,0.7022767075306479
2022-12-07,7.132,7.158,6.77,6.881,4586810.78,31650320.0927,75523,2173612.92,15002845.51644,7.193399999999999,6.914049999999998,7.158511477378802,53.222222222222236,0.09250983733342899,-0.03519349411104877,0.038192312795102636,1.0573116691285083,6637197.936,0.02600000000000069,0.11100000000000065,0.25099999999999945,5.528,7.812,0.5923817863397549
2022-12-08,6.881,7.069,6.775,7.0,3737485.32,25863736.07694,61791,1774345.78,12276607.43854,7.146399999999998,6.954899999999998,7.134106569525868,53.13543599257885,0.07317936394676039,0.017293997965411867,0.03815800514422768,1.0433948339483394,5651723.413999999,0.06899999999999995,0.10599999999999987,0.11899999999999977,5.528,7.812,0.6444833625218914
2022-12-09,7.001,7.054,6.796,6.863,3053488.23,21194713.01702,48581,1425466.76,9902893.62356,7.030199999999998,6.9907499999999985,7.092371057782773,50.26642984014211,0.046618549055446046,-0.019571428571428462,0.03851889445091241,1.0379635079458505,5052739.854999999,0.052999999999999936,0.06700000000000017,0.1379999999999999,5.528,7.812,0.5845008756567428
2022-12-10,6.863,6.921,6.694,6.858,2430271.44,16610861.42092,43053,1093400.46,7476451.29901,6.946799999999998,7.0452499999999985,7.056294363364224,44.068471337579616,0.02489923413435058,-0.0007285443683521242,0.0351435372804245,1.0339109650433225,4462538.894999999,0.05799999999999983,0.1639999999999997,0.005000000000000782,5.528,7.812,0.5823117338003501
2022-12-11,6.857,6.96,6.646,6.7,2014728.27,13753519.50922,41176,961119.63,6564480.82945,6.8603999999999985,7.0864499999999975,7.001454624785077,45.819536423841065,-0.004659380033843696,-0.023038786818314283,0.03578700489946938,1.0472464640385195,3902267.4919999996,0.10299999999999976,0.05400000000000027,0.15700000000000003,5.837,7.812,0.4369620253164558
2022-12-12,6.698,6.728,6.457,6.701,3916237.64,25899772.45907,67608,1805091.34,11944060.77553,6.824399999999999,7.100399999999998,6.955212841299882,38.399999999999984,-0.027676339698590624,0.00014925373134322406,0.029559343829778928,1.041969955087502,3787647.6999999993,0.027000000000000135,0.24100000000000055,0.0029999999999992255,6.343,7.812,0.24370319945541155
2022-12-13,6.702,7.101,6.466,6.926,6912945.43,47049528.39863,116158,3373482.4,22968959.65211,6.809599999999999,7.111349999999997,6.950717077648978,41.19496855345913,-0.027850618587675235,0.033577078048052655,0.028844757515670314,1.0982060006186205,4108068.8029999994,0.17499999999999982,0.23599999999999977,0.2240000000000002,6.457,7.812,0.3461254612546127
2022-12-14,6.926,6.965,6.687,6.718,3469806.01,23701361.48376,69321,1654715.68,11309493.18452,6.780599999999998,7.105699999999997,6.914904472094826,27.067307692307693,-0.04390698790298497,-0.03003176436615651,0.029419883396699955,1.041573201734709,4114934.225999999,0.0389999999999997,0.030999999999999694,0.20800000000000018,6.457,7.812,0.19261992619926202
2022-12-15,6.719,6.732,6.386,6.456,4035740.38,26485632.78609,64051,1700622.37,11161670.08083,6.7002,7.0860999999999965,6.844287135470371,23.74624946420917,-0.07646761540092584,-0.03899970229234884,0.030641059745031264,1.0541810209834013,3957453.318999999,0.0129999999999999,0.07000000000000028,0.2629999999999999,6.386,7.812,0.0490883590462835
2022-12-16,6.456,6.543,5.778,5.893,6985610.0,42799427.82887,125924,3211992.04,19675132.75218,6.538799999999999,7.022949999999996,6.697906067262242,19.61061946902653,-0.14518548464125836,-0.08720570012391582,0.03393996878044974,1.1323987538940812,4114312.349999999,0.08699999999999974,0.11500000000000021,0.5630000000000006,5.778,7.812,0.05653883972468052
2022-12-17,5.892,6.067,5.789,6.03,4125251.26,24567920.30177,63489,2042000.05,12163982.96139,6.404599999999999,6.979349999999997,6.5951339400333255,26.71047545419404,-0.1866071512413212,0.02324792126251496,0.03407772964915012,1.0480221108999828,4068156.397999999,0.03699999999999992,0.10300000000000065,0.1379999999999999,5.778,7.812,0.1238938053097348
2022-12-18,6.03,6.064,5.914,5.949,2206062.25,13226533.47215,38057,1099997.56,6595835.17156,6.209199999999998,6.917099999999998,6.495714518570552,19.601464009760065,-0.22328003219300818,-0.013432835820895606,0.032127989695455134,1.0253635441325668,3915014.090999999,0.03399999999999981,0.03500000000000014,0.0810000000000004,5.778,7.812,0.0840707964601771
